Position x [mm],Position y [mm],Position z [mm]
-4.36,-5.89,6.97
-4.46,-6.48,7.17
-4.19,-6.68,7.01
-4.21,-6.83,7.09
-3.96,-6.53,7.26
-3.81,-6.02,6.89
-4.38,-5.99,7.11
-4.1,-6.2,7.4
-3.9,-6.75,6.88
-4.34,-6.22,6.71
-4.26,-5.96,6.77
-3.99,-6.35,6.65
-3.12,-5.89,6.86
-3.36,-5.49,6.83
