Position x [mm],Position y [mm],Position z [mm]
-2.03,-15.2,-10.68
-2.19,-15.15,-9.39
-2.57,-14.63,-9.28
-2.56,-14.47,-8.95
-3.03,-14.54,-9.62
-2.6,-14.35,-10.66
-2.24,-15.42,-10.37
-3.05,-15.23,-10.04
-2.59,-14.03,-9.2
-1.75,-14.59,-9.84
-1.73,-14.72,-10.41
-2.05,-14.12,-10.08
-3.55,-13.25,-11.89
-3.21,-13.77,-12.38
