Position x [mm],Position y [mm],Position z [mm]
0.12,0.95,-1.7
0.38,1.63,-1.71
0.22,1.8,-1.41
0.12,1.99,-1.44
0.34,1.63,-1.11
0,1.08,-1.08
0.27,1.06,-1.65
0.6,1.36,-1.37
0.14,1.87,-1
-0.19,1.34,-1.68
-0.03,1.1,-1.78
-0.27,1.52,-1.28
-0.13,0.65,-0.24
-0.1,0.31,-0.57
