Position x [mm],Position y [mm],Position z [mm]
0.38,0.08,0.78
0.69,0.61,0.76
0.79,0.67,0.39
0.86,0.79,0.37
0.49,0.67,0.29
0.41,0.09,0.28
0.45,0.21,0.8
0.27,0.61,0.62
0.66,0.7,0.15
0.84,0.16,0.55
0.58,-0.04,0.61
0.82,0.19,0.24
-0.03,-0.15,-0.34
-0.1,-0.47,-0.04
