Position x [mm],Position y [mm],Position z [mm]
-11.86,-1.1,-3.47
-11.74,-0.71,-2.51
-10.98,-0.33,-2.36
-10.86,-0.29,-2.1
-11.07,0.1,-2.69
-10.92,-0.28,-3.83
-11.87,-0.83,-3.45
-11.86,-0.04,-3.11
-10.49,0.03,-2.34
-11.23,-1.23,-2.75
-11.62,-1.29,-3.17
-10.66,-0.99,-2.87
-10.04,0.09,-4.52
-10.57,-0.44,-4.94
