Position x [mm],Position y [mm],Position z [mm]
-5.33,-2.18,-4.33
-5.68,-1.9,-4.11
-5.57,-1.63,-3.98
-5.67,-1.56,-3.89
-5.44,-1.5,-4.21
-5.03,-1.77,-4.28
-5.4,-2.11,-4.39
-5.46,-1.73,-4.51
-5.41,-1.39,-3.9
-5.35,-2.02,-3.93
-5.23,-2.14,-4.19
-5.23,-1.8,-3.89
-4.73,-1.5,-4.27
-4.72,-1.89,-4.49
