Position x [mm],Position y [mm],Position z [mm]
0.15,1.08,-1.81
0.33,1.63,-1.74
0.19,1.81,-1.42
0.11,1.99,-1.44
0.36,1.69,-1.19
0,1.09,-1.06
0.28,1.14,-1.68
0.6,1.44,-1.44
0.1,1.95,-1.08
-0.23,1.31,-1.61
-0.11,1.02,-1.63
-0.28,1.54,-1.28
-0.1,0.61,-0.18
-0.07,0.25,-0.49
