Position x [mm],Position y [mm],Position z [mm]
-11.78,-1.11,-3.61
-11.68,-0.73,-2.49
-11.01,-0.38,-2.38
-10.84,-0.32,-2.08
-11,0.13,-2.78
-10.95,-0.27,-3.81
-11.86,-0.78,-3.49
-11.83,-0.02,-3.27
-10.5,0.16,-2.49
-11.18,-1.28,-2.92
-11.74,-1.25,-3.15
-10.78,-0.97,-2.72
-10.03,0.1,-4.53
-10.65,-0.4,-4.9
