Position x [mm],Position y [mm],Position z [mm]
7.32,0.26,-6.08
7.67,0.11,-5.58
7.44,-0.33,-5.48
7.44,-0.43,-5.39
7.37,-0.37,-5.53
7.01,0.03,-5.7
7.36,0.12,-6.09
7.4,-0.23,-5.99
7.21,-0.24,-5.22
7.36,0.33,-5.59
7.23,0.35,-5.81
7.2,0.22,-5.4
6.34,-0.32,-5.6
6.33,-0.03,-6.01
