Position x [mm],Position y [mm],Position z [mm]
0.31,-7.28,4.6
0.66,-7.81,4.21
1.04,-7.69,4.11
1.12,-7.7,3.98
1.13,-7.63,4.54
0.92,-7.1,4.66
0.44,-7.45,4.66
0.77,-7.71,4.77
1.34,-7.47,4.03
0.52,-7.27,4.12
0.36,-7.2,4.45
0.89,-7.15,4.06
1.44,-6.27,5.05
0.97,-6.26,5.3
