Position x [mm],Position y [mm],Position z [mm]
7.07,0.06,9.24
7.59,0.49,9.07
7.48,0.63,8.76
7.56,0.78,8.71
7.2,0.8,8.95
6.88,0.46,8.87
7.16,0.19,9.25
7.16,0.59,9.29
7.13,0.88,8.64
7.31,0.27,8.74
7.2,0.09,8.98
7.21,0.44,8.6
6.24,0.55,8.68
6.22,0.33,8.93
