Position x [mm],Position y [mm],Position z [mm]
-8.69,-2.52,0.4
-7.79,-3.16,0.86
-7.33,-2.5,1.17
-7.06,-2.43,1.19
-7.34,-2.38,1.14
-7.78,-2.25,0.33
-8.54,-2.52,0.68
-7.91,-2.27,1.03
-6.9,-2.57,0.8
-7.92,-3.1,0.35
-8.45,-2.8,0.32
-7.51,-2.86,0.29
-7.37,-1.34,-0.24
-8.02,-1.4,-0.37
