Position x [mm],Position y [mm],Position z [mm]
8.04,2.32,-12.68
8.15,2.58,-11.8
7.54,2.69,-11.63
7.53,2.8,-11.46
7.47,2.19,-11.72
7.38,2.19,-12.46
8.15,2.39,-12.46
7.94,1.96,-11.89
7.18,2.7,-11.66
7.74,2.8,-12.47
7.88,2.58,-12.65
7.29,2.75,-12.26
6.7,1.61,-12.73
7.19,1.49,-13.07
