Position x [mm],Position y [mm],Position z [mm]
12.43,1.97,-13.25
12.7,1.24,-12.71
12.55,0.53,-12.48
12.59,0.39,-12.5
12.58,0.47,-12.77
11.99,1.05,-13.42
12.74,1.7,-13.23
12.88,1.02,-13.29
12.31,0.23,-12.55
11.89,1.48,-12.52
11.88,1.65,-12.97
11.72,1.08,-12.7
11.62,0.17,-14.18
11.75,0.96,-14.58
