Position x [mm],Position y [mm],Position z [mm]
-7.54,5.69,-4.13
-7.68,5.08,-5.12
-7.76,4.34,-4.81
-7.78,4.07,-4.83
-7.76,4.28,-4.57
-7.27,4.8,-3.96
-7.76,5.51,-4.18
-8.17,4.89,-4.27
-7.34,3.98,-4.66
-6.96,5.28,-4.61
-7.27,5.56,-4.33
-6.87,4.73,-4.7
-7.01,4.02,-2.81
-7.16,4.87,-2.63
