Position x [mm],Position y [mm],Position z [mm]
-7.27,3.71,-9.02
-7.6,3.74,-9.51
-7.44,4.08,-9.74
-7.34,4.09,-9.87
-7.2,3.98,-9.73
-6.98,4.01,-9.31
-7.24,3.65,-9.18
-7.25,3.54,-9.51
-7.14,4.2,-9.82
-7.39,4.1,-9.18
-7.21,3.87,-9.01
-7.25,4.28,-9.33
-6.49,4.23,-9.43
-6.51,3.9,-9.04
