Position x [mm],Position y [mm],Position z [mm]
-5.35,-2.19,-4.33
-5.68,-1.89,-4.11
-5.56,-1.65,-3.95
-5.64,-1.61,-3.84
-5.49,-1.5,-4.18
-5.02,-1.74,-4.3
-5.44,-2.11,-4.38
-5.5,-1.76,-4.49
-5.42,-1.39,-3.93
-5.31,-2,-3.93
-5.3,-2.15,-4.15
-5.26,-1.81,-3.87
-4.71,-1.5,-4.28
-4.72,-1.89,-4.49
