Position x [mm],Position y [mm],Position z [mm]
1.47,3.39,15.26
1.22,3.44,14.21
0.49,3.18,14.17
0.29,3.09,13.92
0.35,3.76,14.38
0.41,3.6,15.39
1.34,3.7,15.04
1.01,4.05,14.59
-0.21,3.07,14.35
1.11,2.83,14.92
1.34,3.1,15.24
0.51,2.78,14.86
-0.6,3.88,16.05
0.09,3.9,16.57
