Position x [mm],Position y [mm],Position z [mm]
-0.85,3.87,1.19
-0.63,4.09,1.06
-0.58,4.07,0.86
-0.5,4.1,0.83
-0.74,4.07,0.79
-0.83,3.79,0.83
-0.87,3.93,1.13
-0.9,4.08,0.98
-0.52,4.06,0.72
-0.62,3.81,1.05
-0.76,3.83,1.15
-0.59,3.79,0.91
-0.97,3.54,0.52
-1.13,3.51,0.75
