Position x [mm],Position y [mm],Position z [mm]
17.8,-0.44,8.53
19.39,0.03,8.17
19.37,0.84,7.61
19.65,0.84,7.26
19,1.17,8.01
17.63,0.71,7.85
18.25,-0.22,8.62
18.74,0.68,8.76
19.22,1.41,7.08
18.61,-0.3,7.26
18.01,-0.51,7.97
18.43,0.48,6.94
15.9,2.25,7.68
15.42,1.28,7.99
