Position x [mm],Position y [mm],Position z [mm]
0.62,-7.96,-2.7
0.77,-7.63,-1.7
0.94,-7.15,-1.75
1.07,-7.12,-1.5
0.68,-6.95,-2.13
0.88,-7.26,-2.77
0.54,-7.85,-2.57
0.27,-7.32,-2.38
1.17,-6.89,-2.01
1.19,-7.82,-2.17
0.99,-7.97,-2.33
1.33,-7.38,-2.24
1.01,-6.52,-3.63
0.77,-7.02,-3.87
