Position x [mm],Position y [mm],Position z [mm]
-8.69,-0.74,-1.63
-8.73,-0.36,-1.17
-8.69,-0.13,-1.24
-8.63,-0.06,-1.15
-8.75,-0.1,-1.45
-8.6,-0.33,-1.71
-8.75,-0.63,-1.5
-8.9,-0.31,-1.49
-8.53,0.04,-1.24
-8.45,-0.49,-1.33
-8.58,-0.68,-1.49
-8.39,-0.34,-1.47
-8.47,-0.1,-2.21
-8.52,-0.4,-2.25
