Position x [mm],Position y [mm],Position z [mm]
9.32,2.84,-9.13
10.12,2.51,-8.73
10.01,2.15,-8.54
10.15,2.02,-8.33
9.84,1.89,-8.86
9.12,2.25,-8.93
9.53,2.75,-9.16
9.87,2.27,-9.26
9.95,1.8,-8.26
9.65,2.69,-8.47
9.5,2.85,-8.78
9.54,2.31,-8.33
8.33,1.46,-9.08
8.21,1.98,-9.36
