Position x [mm],Position y [mm],Position z [mm]
4.81,1.38,-8.69
5.09,1.31,-8.08
5.01,0.94,-7.95
5.08,0.92,-7.75
5.01,0.67,-8.18
4.64,0.85,-8.55
5.01,1.23,-8.69
5.23,0.86,-8.52
4.91,0.77,-7.74
4.69,1.28,-8.15
4.65,1.33,-8.55
4.5,0.94,-8.12
4.17,0.13,-8.98
4.13,0.47,-9.27
