Position x [mm],Position y [mm],Position z [mm]
-0.17,-16.6,17.83
0.5,-17.31,18.01
0.84,-17.35,17.58
1.01,-17.54,17.41
1.09,-17,17.64
0.57,-16.34,17.3
0.07,-16.62,17.97
0.77,-16.78,18.12
1.16,-17.38,17.21
0.07,-16.96,17.3
-0.13,-16.6,17.56
0.45,-16.93,17.05
0.99,-15.46,16.64
0.43,-15.21,16.95
