Position x [mm],Position y [mm],Position z [mm]
2.75,5.77,1.69
2.62,5.87,1.12
2.32,5.63,0.98
2.31,5.58,0.81
2.09,5.68,1.18
2.34,5.39,1.72
2.68,5.87,1.61
2.22,5.95,1.48
2.16,5.31,1
2.76,5.49,1.29
2.77,5.55,1.64
2.5,5.19,1.38
1.9,5.02,1.94
2.27,5.15,2.24
