Position x [mm],Position y [mm],Position z [mm]
-2.71,15.31,-2.66
-3.9,15.47,-3.36
-4.08,14.79,-3.55
-4.22,14.71,-3.9
-4.1,14.58,-3.06
-3,14.38,-2.72
-3.05,15.46,-2.72
-3.95,15.25,-2.64
-3.89,14.16,-3.74
-2.94,15.11,-3.57
-2.61,15.09,-2.95
-2.88,14.3,-3.41
-2.79,13.12,-2.17
-2.28,13.83,-1.75
