Position x [mm],Position y [mm],Position z [mm]
4.1,7.13,8.08
4.14,7.32,7.5
3.94,7.09,7.28
3.92,7.08,7.1
3.65,7.04,7.42
3.76,6.77,7.9
4.06,7.2,8.01
3.67,7.3,7.74
3.85,6.69,7.25
4.29,7.02,7.61
4.22,6.98,8.01
4.04,6.62,7.55
3.1,6.19,8.17
3.31,6.33,8.57
